Model,Dataset,Target,Horizon,Context,MAE,RMSE,MASE
RandomForest,bitcoin_ohlcv_daily_merged,return,1,,0.022963705776591965,0.03362421896956766,0.7138674705323175
XGBoost,bitcoin_ohlcv_daily_merged,return,1,,0.02366057610086489,0.03491607544344317,0.7355309189546905
ARIMA,bitcoin_ohlcv_daily_merged,return,1,,0.021406485863764136,0.031024281474779588,0.6654585311804592
Prophet,bitcoin_ohlcv_daily_merged,return,1,,0.02230056140092117,0.03168038152311024,0.6932524529622701
LSTM,bitcoin_ohlcv_daily_merged,return,1,,0.02331300270838956,0.033156157321596616,0.724725984379905
RandomForest,bitcoin_ohlcv_hourly_merged,return,1,,0.0038510467935033332,0.0054624531635815345,0.733170203919167
XGBoost,bitcoin_ohlcv_hourly_merged,return,1,,0.00386904530507152,0.005457649290146736,0.7365967975453339
ARIMA,bitcoin_ohlcv_hourly_merged,return,1,,0.003616471116223713,0.005193006881783811,0.6885112043360638
Prophet,bitcoin_ohlcv_hourly_merged,return,1,,0.003733920398023784,0.0053220064477614085,0.7108714400082933
LSTM,bitcoin_ohlcv_hourly_merged,return,1,,0.009395386537037776,0.01227465674024552,1.7887130000289932
RandomForest,ethereum_ohlcv_daily_merged,return,1,,0.030934573997863174,0.04434338563258241,0.7225675879100927
XGBoost,ethereum_ohlcv_daily_merged,return,1,,0.031287527531581115,0.04523533638337916,0.7308118515460016
ARIMA,ethereum_ohlcv_daily_merged,return,1,,0.028920250994091307,0.04164452461915106,0.675517173890886
Prophet,ethereum_ohlcv_daily_merged,return,1,,0.029941039089692645,0.04255843699031328,0.69936066991113
LSTM,ethereum_ohlcv_daily_merged,return,1,,0.03104802239036122,0.04457373830869657,0.725217507424913
RandomForest,ethereum_ohlcv_hourly_merged,return,1,,0.0048608451498390465,0.007054921562097272,0.7263321429612356
XGBoost,ethereum_ohlcv_hourly_merged,return,1,,0.0048607682580012355,0.006995842764541748,0.7263206533927322
ARIMA,ethereum_ohlcv_hourly_merged,return,1,,0.004538068767795121,0.006702356670259909,0.6781012584050794
Prophet,ethereum_ohlcv_hourly_merged,return,1,,0.004669029764324142,0.006846468921712235,0.6976701149148188
LSTM,ethereum_ohlcv_hourly_merged,return,1,,0.010097561666092889,0.012770106712420196,1.5088288924117084
