Model,Dataset,Target,Horizon,Context,MAE,RMSE,MASE
RandomForest,bitcoin_ohlcv_daily_merged,volatility,7,,0.006359111424058131,0.008669551059143766,0.5887342109350225
XGBoost,bitcoin_ohlcv_daily_merged,volatility,7,,0.006296749576963399,0.009133168366501188,0.5829606758617311
ARIMAX,bitcoin_ohlcv_daily_merged,volatility,7,,0.0033844597233850604,0.005324413311455793,0.31333736615310065
Prophet,bitcoin_ohlcv_daily_merged,volatility,7,,0.009662838339898975,0.013356677149132554,0.8945972363231077
RandomForest,bitcoin_ohlcv_hourly_merged,volatility,24,,0.001960743515319393,0.0027667359223041274,1.2437193261677584
XGBoost,bitcoin_ohlcv_hourly_merged,volatility,24,,0.0019074355384536,0.0026205496721564167,1.2099055404538779
ARIMAX,bitcoin_ohlcv_hourly_merged,volatility,24,,0.00015618349128382252,0.0003155888422434329,0.09906875887660493
Prophet,bitcoin_ohlcv_hourly_merged,volatility,24,,0.0010037536852736206,0.0013100368982927608,0.6366910548642345
RandomForest,ethereum_ohlcv_daily_merged,volatility,7,,0.008850366641600237,0.01233081963193784,0.6055921998293857
XGBoost,ethereum_ohlcv_daily_merged,volatility,7,,0.008507881546859965,0.012161373850862457,0.5821574303637181
ARIMAX,ethereum_ohlcv_daily_merged,volatility,7,,0.0043206274701692565,0.007115045796625333,0.29564179657872086
Prophet,ethereum_ohlcv_daily_merged,volatility,7,,0.013647380417875356,0.018545299964472423,0.9338310449560391
RandomForest,ethereum_ohlcv_hourly_merged,volatility,24,,0.0017786843039208733,0.002330164321645834,0.7899310888889879
XGBoost,ethereum_ohlcv_hourly_merged,volatility,24,,0.0017196080471155917,0.0022212801202170134,0.7636947456757419
ARIMAX,ethereum_ohlcv_hourly_merged,volatility,24,,0.0002259145000672638,0.00047705681494590374,0.10033083815973443
Prophet,ethereum_ohlcv_hourly_merged,volatility,24,,0.0014152668712719538,0.0018123152174996462,0.6285338540560368
