Model,Dataset,Target,Horizon,Context,MAE,RMSE,MASE
RandomForest,bitcoin_ohlcv_daily_merged,return,1,,0.022829310918824293,0.0332237645409995,0.7096895683199944
XGBoost,bitcoin_ohlcv_daily_merged,return,1,,0.02354299901156432,0.03456581625417755,0.7318758268651068
ARIMAX,bitcoin_ohlcv_daily_merged,return,1,,0.018728362828245197,0.026486178060700426,0.5787204268891779
Prophet,bitcoin_ohlcv_daily_merged,return,1,,0.019673141452277547,0.027310261343933794,0.6079147934032211
RandomForest,bitcoin_ohlcv_daily_merged,return,3,,0.03554107427592283,0.04867226166151005,0.6521889891770525
XGBoost,bitcoin_ohlcv_daily_merged,return,3,,0.03573472046445442,0.048616774189438765,0.6557424527267449
ARIMAX,bitcoin_ohlcv_daily_merged,return,3,,0.03431068074526367,0.046061745073748606,0.617161074804546
Prophet,bitcoin_ohlcv_daily_merged,return,3,,0.0450561878964471,0.061069212210982333,0.810445165900866
RandomForest,bitcoin_ohlcv_daily_merged,return,7,,0.04507242214122131,0.06163208967554327,0.5254981561353046
XGBoost,bitcoin_ohlcv_daily_merged,return,7,,0.04428934127708139,0.060385956471050904,0.5163682374253442
ARIMAX,bitcoin_ohlcv_daily_merged,return,7,,0.03275717835201054,0.04628940659837336,0.35393701309197256
Prophet,bitcoin_ohlcv_daily_merged,return,7,,0.07553781631692554,0.10024350538253507,0.8161761918380172
RandomForest,bitcoin_ohlcv_hourly_merged,return,1,,0.003787700560580835,0.005337386601002275,0.7211102178946791
XGBoost,bitcoin_ohlcv_hourly_merged,return,1,,0.003901292460701397,0.005452862320932283,0.742736077314371
ARIMAX,bitcoin_ohlcv_hourly_merged,return,1,,0.005530608199851827,0.007857665725882782,0.6706112068917922
Prophet,bitcoin_ohlcv_hourly_merged,return,1,,0.005547753127779396,0.007997106785795235,0.6726901067874471
RandomForest,bitcoin_ohlcv_hourly_merged,return,6,,0.011280794268244273,0.015320616348492586,0.8281711540860844
