Model,Dataset,Target,Horizon,Context,MAE,RMSE,MASE
RandomForest,bitcoin_ohlcv_daily_merged,volatility,1,,0.0,0.0,
XGBoost,bitcoin_ohlcv_daily_merged,volatility,1,,0.0,0.0,
ARIMAX,bitcoin_ohlcv_daily_merged,volatility,1,,4.824558165895704e-06,4.824558165895704e-06,
Prophet,bitcoin_ohlcv_daily_merged,volatility,1,,0.0,0.0,
RandomForest,bitcoin_ohlcv_daily_merged,volatility,3,,0.010121466089939711,0.014086579361820223,0.7367297395051186
XGBoost,bitcoin_ohlcv_daily_merged,volatility,3,,0.009758749316674229,0.014060389522682995,0.7103280076307585
ARIMAX,bitcoin_ohlcv_daily_merged,volatility,3,,0.008595747336542905,0.012160924306738157,0.6183185048150495
Prophet,bitcoin_ohlcv_daily_merged,volatility,3,,0.010470754235607222,0.014335631668449443,0.7531935095070355
RandomForest,bitcoin_ohlcv_daily_merged,volatility,7,,0.006439334558824894,0.00873873779255396,0.5961613655791385
XGBoost,bitcoin_ohlcv_daily_merged,volatility,7,,0.006408572131772356,0.009139178639135364,0.5933133429530991
ARIMAX,bitcoin_ohlcv_daily_merged,volatility,7,,0.0036098558429421275,0.005644651286412305,0.3577412110525893
Prophet,bitcoin_ohlcv_daily_merged,volatility,7,,0.008909240164754926,0.01158785368328764,0.8829167991096685
RandomForest,bitcoin_ohlcv_hourly_merged,volatility,1,,0.0,0.0,
XGBoost,bitcoin_ohlcv_hourly_merged,volatility,1,,0.0,0.0,
ARIMAX,bitcoin_ohlcv_hourly_merged,volatility,1,,4.824558165895702e-06,4.824558165895702e-06,
Prophet,bitcoin_ohlcv_hourly_merged,volatility,1,,0.0,0.0,
RandomForest,bitcoin_ohlcv_hourly_merged,volatility,6,,0.0018933031584607634,0.002465469729756176,0.9079675365805201
XGBoost,bitcoin_ohlcv_hourly_merged,volatility,6,,0.0019950959168149435,0.0025333836011181186,0.9567840822201108
ARIMAX,bitcoin_ohlcv_hourly_merged,volatility,6,,0.0005442478941611798,0.0007252924273167658,0.3460805286851508
Prophet,bitcoin_ohlcv_hourly_merged,volatility,6,,0.0017742483572322112,0.0021837238060263445,1.1282226648502884
RandomForest,bitcoin_ohlcv_hourly_merged,volatility,24,,0.0019141736385176957,0.002286714945450621,1.2141795850731216
XGBoost,bitcoin_ohlcv_hourly_merged,volatility,24,,0.0015454855404406504,0.0018291873035646221,0.9803170174686275
ARIMAX,bitcoin_ohlcv_hourly_merged,volatility,24,,0.0002013686469279381,0.0002894812856724855,0.13835293855409822
Prophet,bitcoin_ohlcv_hourly_merged,volatility,24,,0.001461014779215645,0.0018555154699544298,1.0038091384096548
RandomForest,ethereum_ohlcv_daily_merged,volatility,1,,0.0,0.0,
XGBoost,ethereum_ohlcv_daily_merged,volatility,1,,0.0,0.0,
ARIMAX,ethereum_ohlcv_daily_merged,volatility,1,,4.824558165895704e-06,4.824558165895704e-06,
Prophet,ethereum_ohlcv_daily_merged,volatility,1,,0.0,0.0,
RandomForest,ethereum_ohlcv_daily_merged,volatility,3,,0.013397404201397366,0.018208167066653985,0.7589434527590972
XGBoost,ethereum_ohlcv_daily_merged,volatility,3,,0.013011168675209104,0.017744547874321757,0.737063772231658
ARIMAX,ethereum_ohlcv_daily_merged,volatility,3,,0.01093346154806735,0.01578184493765155,0.62126687854936
Prophet,ethereum_ohlcv_daily_merged,volatility,3,,0.011983594177118721,0.01570845941153189,0.6809380648104852
RandomForest,ethereum_ohlcv_daily_merged,volatility,7,,0.008983112846276843,0.012455530729498199,0.6146754468138941
XGBoost,ethereum_ohlcv_daily_merged,volatility,7,,0.008736993600650911,0.012360108045503939,0.5978345744054706
ARIMAX,ethereum_ohlcv_daily_merged,volatility,7,,0.0044687015517200475,0.007537390880510143,0.33130214239609773
Prophet,ethereum_ohlcv_daily_merged,volatility,7,,0.0118835136607459,0.015403690118841332,0.8810240490289641
RandomForest,ethereum_ohlcv_hourly_merged,volatility,1,,0.0,0.0,
XGBoost,ethereum_ohlcv_hourly_merged,volatility,1,,0.0,0.0,
