Model,Dataset,Target,Horizon,Context,MAE,RMSE,MASE
RandomForest,bitcoin_ohlcv_daily_merged,volume,1,,0.28124738239479474,0.3609259678362604,0.7537131978503147
XGBoost,bitcoin_ohlcv_daily_merged,volume,1,,0.27183490462591314,0.34968171077798693,0.7284887543071557
ARIMAX,bitcoin_ohlcv_daily_merged,volume,1,,0.3440808597259512,0.4754518453347581,0.931367527994723
VAR_volume,bitcoin_ohlcv_daily_merged,volume,1,,0.3150498048680458,0.45623112589640147,0.8527854708014752
Prophet,bitcoin_ohlcv_daily_merged,volume,1,,0.3638558256753571,0.4439318600652018,0.984894949331519
RandomForest,bitcoin_ohlcv_daily_merged,volume,3,,0.31285847900007574,0.40147782823934963,0.6052139795429032
XGBoost,bitcoin_ohlcv_daily_merged,volume,3,,0.3036084008203495,0.3891328400414582,0.5873200210856234
ARIMAX,bitcoin_ohlcv_daily_merged,volume,3,,0.34320131324591285,0.4385933362373627,0.6299919904459096
VAR_volume,bitcoin_ohlcv_daily_merged,volume,3,,0.41263834830559876,0.5253202607964047,0.7574529710411955
Prophet,bitcoin_ohlcv_daily_merged,volume,3,,0.3393744063444858,0.44271272684047797,0.6229671901230922
RandomForest,bitcoin_ohlcv_daily_merged,volume,7,,0.31324526320972046,0.4050893658677763,0.8179285074073753
XGBoost,bitcoin_ohlcv_daily_merged,volume,7,,0.30413046659779314,0.3899193562154029,0.7941284604035547
ARIMAX,bitcoin_ohlcv_daily_merged,volume,7,,0.37928250813972303,0.49321149005663784,1.0380555886812692
VAR_volume,bitcoin_ohlcv_daily_merged,volume,7,,0.41577945929370874,0.5303734538355551,1.1379438337285877
Prophet,bitcoin_ohlcv_daily_merged,volume,7,,0.33710312841911394,0.4363594435721778,0.922615145459042
RandomForest,bitcoin_ohlcv_hourly_merged,volume,1,,0.38733180089817393,0.4990790226032859,0.9108774533312273
XGBoost,bitcoin_ohlcv_hourly_merged,volume,1,,0.37338044088522077,0.48390286685022216,0.8780684269367054
ARIMAX,bitcoin_ohlcv_hourly_merged,volume,1,,0.4457365952385138,0.5461878314793295,1.1396821743920906
VAR_volume,bitcoin_ohlcv_hourly_merged,volume,1,,0.41675833228561593,0.5150299514823901,1.0655890662985266
Prophet,bitcoin_ohlcv_hourly_merged,volume,1,,0.4673540448779662,0.5787201469620131,1.1949547777032892
RandomForest,bitcoin_ohlcv_hourly_merged,volume,6,,0.4463413718546057,0.572101257238047,0.7250717387424835
XGBoost,bitcoin_ohlcv_hourly_merged,volume,6,,0.4619173656850313,0.5980780411086849,0.7503745980367991
ARIMAX,bitcoin_ohlcv_hourly_merged,volume,6,,0.3306739078268644,0.40960915405922527,0.40874929121437575
VAR_volume,bitcoin_ohlcv_hourly_merged,volume,6,,0.4436978080390818,0.5966344337483925,0.5484592532299363
Prophet,bitcoin_ohlcv_hourly_merged,volume,6,,0.48444528369283063,0.6340637177402999,0.5988276112951436
RandomForest,bitcoin_ohlcv_hourly_merged,volume,24,,0.47590109328832775,0.6102745545182725,0.7980336787527769
XGBoost,bitcoin_ohlcv_hourly_merged,volume,24,,0.48744619638903325,0.6254646790203213,0.8173935441302118
ARIMAX,bitcoin_ohlcv_hourly_merged,volume,24,,0.5659680142544453,0.6780423348416631,0.8853814519751382
VAR_volume,bitcoin_ohlcv_hourly_merged,volume,24,,0.7064951441911058,0.8265522715152777,1.1052173989042577
Prophet,bitcoin_ohlcv_hourly_merged,volume,24,,0.427945817553423,0.5578643658275974,0.6694641389076719
RandomForest,ethereum_ohlcv_daily_merged,volume,1,,0.2879448256006676,0.3732060128446817,0.791278370371712
XGBoost,ethereum_ohlcv_daily_merged,volume,1,,0.2819790231404251,0.3620326750737692,0.7748842211146354
ARIMAX,ethereum_ohlcv_daily_merged,volume,1,,0.32392156072069783,0.44245015523703524,0.9450516030869206
VAR_volume,ethereum_ohlcv_daily_merged,volume,1,,0.3068645039327402,0.42538379247783575,0.8952870896487325
Prophet,ethereum_ohlcv_daily_merged,volume,1,,0.410240134178683,0.5022633573405132,1.1968888257810397
RandomForest,ethereum_ohlcv_daily_merged,volume,3,,0.3302320401124618,0.4244460910411283,0.6617645407368028
XGBoost,ethereum_ohlcv_daily_merged,volume,3,,0.3122995427647511,0.4019181933537336,0.6258289275009388
ARIMAX,ethereum_ohlcv_daily_merged,volume,3,,0.3466506351214188,0.452119396346391,0.6470197840865944
VAR_volume,ethereum_ohlcv_daily_merged,volume,3,,0.4163273570768881,0.5349718466306398,0.7770706567171863
Prophet,ethereum_ohlcv_daily_merged,volume,3,,0.3425312134219619,0.4333133093229622,0.639330926578485
RandomForest,ethereum_ohlcv_daily_merged,volume,7,,0.3328141949340499,0.4298465619247393,0.8036062765018969
XGBoost,ethereum_ohlcv_daily_merged,volume,7,,0.3183230934094568,0.4136949739496241,0.7686163622619203
ARIMAX,ethereum_ohlcv_daily_merged,volume,7,,0.33659878714128677,0.43337012370382805,0.8280396387924494
VAR_volume,ethereum_ohlcv_daily_merged,volume,7,,0.34791974954217536,0.44921819241024535,0.8558894290333152
Prophet,ethereum_ohlcv_daily_merged,volume,7,,0.31869758115513874,0.40739273999525416,0.7840023198686074
RandomForest,ethereum_ohlcv_hourly_merged,volume,1,,0.4640860562715971,0.5894045875638354,0.9233727542930177
XGBoost,ethereum_ohlcv_hourly_merged,volume,1,,0.46503747051706434,0.5896844271624029,0.9252657437083182
ARIMAX,ethereum_ohlcv_hourly_merged,volume,1,,0.5247614433519958,0.6387059598997356,1.11334003171588
VAR_volume,ethereum_ohlcv_hourly_merged,volume,1,,0.508217645670578,0.6162353482412266,1.0782405165577589
Prophet,ethereum_ohlcv_hourly_merged,volume,1,,0.5130932556676887,0.5953081044805715,1.0885846679004032
RandomForest,ethereum_ohlcv_hourly_merged,volume,6,,0.5446703815495159,0.6891594323264805,0.7623260162375063
XGBoost,ethereum_ohlcv_hourly_merged,volume,6,,0.5630441711651405,0.7127776695871554,0.7880421526666942
ARIMAX,ethereum_ohlcv_hourly_merged,volume,6,,0.4432753315614482,0.5698320690713243,0.5536468243365275
VAR_volume,ethereum_ohlcv_hourly_merged,volume,6,,0.5074732045991871,0.6666230927523381,0.6338293790735636
Prophet,ethereum_ohlcv_hourly_merged,volume,6,,0.5617235685634694,0.7337418344415746,0.7015875861953648
RandomForest,ethereum_ohlcv_hourly_merged,volume,24,,0.5557587155214797,0.7019540204618948,0.7506873753151658
XGBoost,ethereum_ohlcv_hourly_merged,volume,24,,0.545886455565224,0.6885001811310855,0.7373524860763407
ARIMAX,ethereum_ohlcv_hourly_merged,volume,24,,0.6313118454860335,0.7567951729170357,0.8850770178744027
VAR_volume,ethereum_ohlcv_hourly_merged,volume,24,,0.687527469467272,0.8299958491673483,0.9638893468161445
Prophet,ethereum_ohlcv_hourly_merged,volume,24,,0.5732296690195646,0.6945769789805176,0.8036478479543931
RandomForest,solana_ohlcv_daily_merged,volume,1,,0.30983476185005643,0.4000328026964517,0.8622794075529254
XGBoost,solana_ohlcv_daily_merged,volume,1,,0.2960945404429975,0.38372785126104775,0.8240399604883686
ARIMAX,solana_ohlcv_daily_merged,volume,1,,0.3531764257359193,0.46523394594385037,0.8733541749570712
VAR_volume,solana_ohlcv_daily_merged,volume,1,,0.33941460396266127,0.456170288857689,0.8393231818757919
Prophet,solana_ohlcv_daily_merged,volume,1,,0.42645801349166074,0.5745606512453322,1.0545689332201698
RandomForest,solana_ohlcv_daily_merged,volume,3,,0.36251572620035094,0.46911349555331866,0.7178797315594047
XGBoost,solana_ohlcv_daily_merged,volume,3,,0.34185108525178504,0.446184004864338,0.6769581223028471
ARIMAX,solana_ohlcv_daily_merged,volume,3,,0.2940770368025102,0.3749659716414617,0.5573239078749582
VAR_volume,solana_ohlcv_daily_merged,volume,3,,0.3881000836028519,0.5190692230596857,0.7355129036661088
Prophet,solana_ohlcv_daily_merged,volume,3,,0.3810528330757014,0.5344129891383886,0.7221572154890582
RandomForest,solana_ohlcv_daily_merged,volume,7,,0.35828778120310256,0.463393546177092,0.779519163210683
XGBoost,solana_ohlcv_daily_merged,volume,7,,0.3416059399412844,0.4411350579756128,0.7432248332796982
ARIMAX,solana_ohlcv_daily_merged,volume,7,,0.33006152786066795,0.41458964898878814,0.6197840256540235
VAR_volume,solana_ohlcv_daily_merged,volume,7,,0.448217240780204,0.5674379909326633,0.8416548504118997
Prophet,solana_ohlcv_daily_merged,volume,7,,0.4728859745859225,0.598340087900129,0.8879773868341087
RandomForest,solana_ohlcv_hourly_merged,volume,1,,0.3994662902170204,0.5140401965872204,0.9115182686293893
XGBoost,solana_ohlcv_hourly_merged,volume,1,,0.400343349284798,0.5106174689614579,0.9135195773318383
ARIMAX,solana_ohlcv_hourly_merged,volume,1,,0.44534579256711765,0.5330939147059341,1.1047703442982604
VAR_volume,solana_ohlcv_hourly_merged,volume,1,,0.4275481685502921,0.5126501212417246,1.060619736970369
Prophet,solana_ohlcv_hourly_merged,volume,1,,0.49827111441437516,0.5982170277991711,1.2360623134044442
RandomForest,solana_ohlcv_hourly_merged,volume,6,,0.49413216483221867,0.6143955370610888,0.7576582674862702
XGBoost,solana_ohlcv_hourly_merged,volume,6,,0.48460363311541066,0.6083023467972041,0.7430480653054508
ARIMAX,solana_ohlcv_hourly_merged,volume,6,,0.3898390827319795,0.504860556088881,0.4963017765550619
